Date,Bajaj Open,Bajaj High,Bajaj Low,Bajaj Close,Bajaj Adj Close,Bajaj Volume
8/3/2022,7326,7376.399902,7218,7296.350098,7296.350098,1218621
8/2/2022,7201.450195,7356,7182.200195,7341.899902,7341.899902,1249124
8/1/2022,7251.049805,7310,7192,7261,7261,1227077
7/29/2022,7175,7260,7125,7209.100098,7209.100098,2606762
7/28/2022,6522,7109.950195,6522,7076.600098,7076.600098,6485782
7/27/2022,6279,6429.399902,6195,6396.350098,6396.350098,1444989
7/26/2022,6300,6383.700195,6212.5,6264.450195,6264.450195,1530406
7/25/2022,6240,6334,6185,6227,6227,724023
7/22/2022,6271,6325,6217.700195,6258.25,6258.25,953295
7/21/2022,6079,6283.149902,6036,6266.899902,6266.899902,1325493
7/20/2022,6149,6149.600098,6042.049805,6074.399902,6074.399902,827092
7/19/2022,6040,6098.149902,6002.049805,6065.950195,6065.950195,978560
7/18/2022,5969.899902,6068.100098,5931.350098,6059.799805,6059.799805,966432
7/15/2022,5855,5928.25,5812.850098,5915.200195,5915.200195,569859
7/14/2022,5925,5926.950195,5794.700195,5830.850098,5830.850098,692920
7/13/2022,5929.950195,5979,5866.600098,5878.899902,5878.899902,886934
7/12/2022,5849.799805,5959.549805,5784,5873.549805,5873.549805,975446
7/11/2022,5850,5903.950195,5813.799805,5861.5,5861.5,761337
7/8/2022,5928,5928,5801,5873.200195,5873.200195,803282
7/7/2022,5935,5986.899902,5816,5860.700195,5860.700195,1335247
7/6/2022,5680,5938.850098,5645.899902,5916.700195,5916.700195,2222952
7/5/2022,5660,5755,5626.450195,5661.100098,5661.100098,1228453
7/4/2022,5612.899902,5648.950195,5541,5630.299805,5630.299805,789818
7/1/2022,5364,5633.950195,5335.049805,5614.399902,5614.399902,1221890
6/30/2022,5512.799805,5535.200195,5377,5400.5,5400.5,1198275
6/29/2022,5485,5554,5460,5512.799805,5492.799805,755982
6/28/2022,5607,5619,5525,5576.25,5556.02002,739500
6/27/2022,5700,5725,5587.75,5641.200195,5620.734375,1049008
6/24/2022,5510,5616.649902,5455,5587.75,5567.478027,1304933
6/23/2022,5445.600098,5495,5343,5448.149902,5428.384766,1101857
6/22/2022,5531.5,5531.5,5405,5439.600098,5419.865723,898346
6/21/2022,5525,5564,5455,5549.149902,5529.018066,1002359
6/20/2022,5428,5510,5352,5470.450195,5450.604004,1119456
6/17/2022,5220,5475,5220,5419.549805,5399.888184,1937939
6/16/2022,5565,5614.950195,5254.850098,5283.899902,5264.730469,2179686
6/15/2022,5418,5499.899902,5396.149902,5484.950195,5465.05127,1659943
6/14/2022,5347,5461,5284.200195,5375.75,5356.247559,1884541
6/13/2022,5525.049805,5554,5325,5358.25,5338.811035,1932785
6/10/2022,5825,5835,5652.399902,5667.5,5646.938965,2151891
6/9/2022,5905,5931.600098,5855,5898.549805,5877.150391,1237674
6/8/2022,5900,6054,5802.25,5954.299805,5932.698242,1334146
6/7/2022,5980,5989.950195,5833.649902,5878.600098,5857.272949,896982
6/6/2022,6008.200195,6050,5911,6021,5999.15625,737657
6/3/2022,6125,6168,6014,6028.200195,6006.330566,1043465
6/2/2022,6007,6080,5949.200195,6057.850098,6035.873047,750809
6/1/2022,6060,6130,5977.25,6010.149902,5988.345703,887620
5/31/2022,6110,6169.200195,6016.450195,6082.149902,6060.084473,1548966
5/30/2022,6088,6127,6041.100098,6111.200195,6089.029297,817484
5/27/2022,5900,6077,5861.049805,5993.5,5971.756348,1625805
5/26/2022,5850,5875.450195,5653.399902,5817.799805,5796.693359,1259546
